id,title,subject
1,"Bitcoin, Unicorns and Why All Bubbles Aren’t Created Equal",hey… you should read this
2,Google May Step Into Gaming With ‘Yeti’ Streaming Service,EXCLUSIVE: Google May Step Into Gaming With ‘Yeti’ Streaming Service
3,Spotify’s Q3 Revenue Points to Full Year Growth of 40%,Exclusive: Spotify’s Q3 Revenue Points to Full Year Growth of 40%
4,Why 2021-2022 Could Be a Watershed for TV Sports,Why 2021-2022 Could Be a Watershed for TV Sports
5,"At Tencent, Tensions Rise Over the Future of WeChat","At Tencent, Tensions Rise Over the Future of WeChat"
